"","X","X2008..YR2008.","X2012..YR2012."
"1",559,0.5,0.640000000000001
"2",618,0.019,0.019
"3",753,0.108618088847826,0.0980817452516093
"4",1030,0,0
"5",1896,0.960859364243456,0.958624638758441
"6",1955,0.204622395,0.421667359
"7",2090,0.0194,0.0158
"8",2690,0.939231072229518,0.959613630768608
"9",3233,0.836,0.803999999999999
"10",3292,0.112102401409551,0.187495952500753
"11",3427,0.0232721296569883,0.021498441626054
"12",5966,0.92803153,1.80535765
"13",6101,0.0036536926734106,0.0029874246803911
"14",7244,0.509,0.537000000000001
"15",7303,0.044923525,0.096617625
"16",7438,0.1831,0.1671
"17",7715,0.0209995618429794,0.0224055895938606
"18",8038,0.9182146,0.9182146
"19",8581,0.979294117647059,0.980470588235294
"20",8640,0.38,0.54
"21",8775,0.0113,0.00929999999999998
"22",9918,0.981021821720494,0.989109108602469
"23",9977,0.309660637,0.510437869
"24",10112,0.0152909765652069,0.0126747105551752
"25",10389,0.00417647058824376,0.00488235294121879
"26",11255,0.973,0.996999999999999
"27",11314,0.0637545243789331,0.0779224858946657
"28",11449,0.0180840884181326,0.00982587286634796
"29",11726,0,0
"30",12592,0.968235294117646,0.981176470588228
"31",12651,0.327176471440907,0.399882357204537
"32",13386,0.9626131,0.9626131
"33",13988,0.729,0.867
"34",14123,0.0051,0.0043
"35",15325,0.7514,0.982199999999999
"36",15460,0.0042,0.0034
"37",16060,0.8345841,0.8345841
"38",16603,0.8,0.828000000000001
"39",16662,0.167237060933361,0.254585304666803
"40",16797,0.0427475499436881,0.0342534442967117
"41",17074,0.002,0.002
"42",17940,0.977678078923602,0.983207089913841
"43",17999,0.277055266938329,0.289770664528067
"44",18134,0.0179971109166837,0.0168559364344961
"45",18411,0.03529909652387,0.0377410823920946
"46",19336,0.348455678380104,0.425878391900519
"47",19471,0.0105488048761665,0.00960939867671753
"48",20614,0.819406938438073,0.847253110634866
"49",20673,0.026,0.058
"50",20808,0.0548,0.0375999999999997
"51",21085,0,0
"52",21951,0.998,0.998
"53",22010,0.60446562077512,0.653886634820692
"54",22145,0.0198195404941161,0.018098548669468
"55",22422,0.00941176470587798,0.0110588235293899
"56",23288,0.996,0.996
"57",23347,0.232,0.372
"58",23435,7.72193929411239e-05,5.62498276999264e-06
"59",23482,0.00710981485033442,0.0043802088897103
"60",23759,0.003,0.003
"61",24082,0.982567143876347,0.975714803121573
"62",24684,0.682305288234941,0.833926441174703
"63",24819,0.00465213904957638,0.00436044935658256
"64",25419,0.989520375,0.989520375
"65",25962,0.9471176470588,0.995588235294
"66",26021,0.114988235159513,0.140541175797565
"67",26156,0.0201495626676098,0.0191686418552459
"68",26433,0.016413626888601,0.0150057451038072
"69",27299,0.733000000000009,0.769000000000048
"70",27358,0.020421457,0.030507285
"71",27493,0.104264855189062,0.0946100595262721
"72",27770,0.0124360086698783,0.0110594883161799
"73",28695,0.788015328,0.96605288
"74",29973,0.943,0.986999999999999
"75",30032,0.073216827,0.129284135
"76",30167,0.0517,0.0397
"77",30444,0.00105555555555556,0.00105555555555556
"78",31310,0.857686246611357,0.890778815671706
"79",31369,0.147978173,0.319921093
"80",31504,0.049100202810708,0.0382623446225402
"81",31781,0.003,0.003
"82",32647,0.99,0.998
"83",32706,0.319142410017233,0.478912050086167
"84",32841,0.00837064482301644,0.00709597737836885
"85",33984,0.963594201322354,0.969012849216174
"86",34043,0.0594920547291037,0.0782039019319627
"87",34178,0.0632534909366289,0.0670674546831446
"88",34455,0.243027260504184,0.222829892007746
"89",35321,0.962433152772038,0.974951404978028
"90",35380,0.372659743264613,0.557364731491705
"91",35515,0.0185691183142206,0.0133278015022156
"92",36717,0.471736508,0.57148254
"93",36852,0.0084296410601919,0.00829845508359062
"94",37452,0.988460640148378,0.948716139141271
"95",37995,0.995823529411765,0.995117647058824
"96",38054,0.405042195520868,0.67478432618683
"97",38189,0.0137531919370517,0.012130923400872
"98",38789,0.593702558965594,0.716499622871211
"99",39332,0.745176470588229,0.813882352941146
"100",39391,0.00859102795378956,0.0129551397689478
"101",39526,0.131257930506449,0.0960822157742887
"102",39803,0.011,0.007
"103",40669,0.740941176470588,0.752705882352941
"104",40728,0.00706502767401391,0.0117337747015034
"105",40863,0.120342312034522,0.107266767722313
"106",41140,0.0142185909961447,0.0140274855304211
"107",41463,0.9402675,0.9402675
"108",42006,0.871,0.895
"109",42065,0.097575286,0.156547638
"110",42200,0.0256183782600763,0.0232411830725044
"111",42477,0.0025245038165592,0.00193927008281267
"112",42800,0.998780819773952,1.06130729886976
"113",43343,0.612,0.708000000000001
"114",43402,0.00518823530424814,0.00634117652124071
"115",43537,0.0486388550251255,0.0292757886804113
"116",43814,0.009,0.00499999999999999
"117",44680,0.700767366549657,0.74240874638738
"118",44739,0.0391310488597962,0.0784552442989811
"119",44874,0.111806975661687,0.101223518610778
"120",45151,0.048,0.044
"121",46017,0,0
"122",46076,0.738529590552464,0.754657101697813
"123",46211,0.00579092000580383,0.00507737636548016
"124",47354,0.953480904550972,0.964170263193726
"125",47413,0.55058823521593,0.672941176079649
"126",48148,0.53520120625,0.53520120625
"127",48691,0.66163336581006,0.680586175104276
"128",48750,0.00427303914088157,0.00654777235057834
"129",48885,0.1473,0.1345
"130",50028,0.486941176470591,0.506705882352957
"131",50087,0.011134032,0.02178118
"132",50222,0.167248445657057,0.155039490749348
"133",50499,0.030316409880347,0.0256592873196065
"134",52159,0.9492944,0.9492944
"135",52702,0.976887241980239,0.989036113850643
"136",52761,0.380117632642454,0.464588163212272
"137",52896,0.0091710280303382,0.0105556540664133
"138",53173,0.00233449296934251,0.00167623414142808
"139",54039,0.896,0.940000000000001
"140",54098,0.214768474,0.43384237
"141",54186,0.000321,0.000141
"142",54233,0.0184847740162134,0.0144348402333478
"143",54833,0.947162334353371,0.982604471766858
"144",55376,0.908352941176448,0.913764705882242
"145",55435,0.281232957071858,0.578323224583061
"146",55570,0.0199255705661466,0.0173329936479262
"147",55847,0.005,0.00500000000000001
"148",56772,0.028,0.04
"149",56907,0.0875141938865815,0.07847236124782
"150",57184,0,0
"151",58050,0.455,0.463
"152",58109,0.00436169519272122,0.00711841268182219
"153",58244,0.164848954688442,0.150090607594345
"154",58521,0.0125623189099783,0.00976938653300579
"155",59387,0.734,0.758
"156",59446,0.035114187,0.065182759
"157",59581,0.107337176408329,0.0953215329571371
"158",59858,0.032,0.024
"159",60724,0.961082478144073,0.966906443429213
"160",60783,0.300705872773485,0.367529363867424
"161",60918,0.0103744314770689,0.0101855077558764
"162",61195,0.003,0.003
"163",62061,0.79249253675234,0.801098407443077
"164",62120,0.020977782249953,0.0328889112497651
"165",62255,0.121344945320755,0.107809278827022
"166",62532,0.038,0.022
"167",62855,1.00600084325364,1.0678926162682
"168",63398,0.985,0.985
"169",63457,0.456697672568231,0.613971735360345
"170",63592,0.0059,0.00469999999999999
"171",64192,0.9865396,0.9865396
"172",64735,0.928115779439537,0.937508720634206
"173",64794,0.127274268075445,0.160819750667256
"174",64882,0.000213,0.000213
"175",64929,0.00650089432959016,0.00687630320699614
"176",65206,0,0
"177",66866,0.9934184,0.9934184
"178",67468,0.431682365852558,0.52761182926279
"179",67603,0.004,0.0028
"180",68746,0,0
"181",68805,0.573903425148829,0.792317125744146
"182",68940,0.00437168619285081,0.00285049784082399
"183",69540,0.974967559813126,0.981032198103376
"184",70142,0.839510534718918,0.82222812514049
"185",70277,0.00437847992464235,0.00338996455801213
"186",71420,0.898,0.934000000000001
"187",71479,0.019699588,0.03369794
"188",71614,0.0911126209367686,0.0797616529945445
"189",71891,0.018,0.01
"190",72816,0.408697328832495,0.418621578435956
"191",72951,0.0135696787523197,0.0133897035441932
"192",73551,0.835954922222222,0.835954922222222
"193",74094,0.826679728113202,0.808210843215404
"194",74153,0.204033261953912,0.313766309769561
"195",74288,0.0306,0.0266
"196",74565,0.00944857296147852,0.00809006626537152
"197",75431,0.841999493804015,0.864771816822466
"198",75490,0.144,0.288
"199",75625,0.0262233788334174,0.0229139821207
"200",75902,0.00623529411765459,0.00717647058827297
"201",76768,0.987235294117647,1.00017647058824
"202",76827,0.180096318811443,0.259281594057214
"203",76962,0.0254864818446398,0.020257576176578
"204",77239,0,0
"205",77562,0.961979155554831,1.04483977777416
"206",78105,0.888,0.912
"207",78164,0.0672,0.0916
"208",78299,0.0191658682530219,0.0159342324137655
"209",78576,0.00691501082607402,0.00476378459328163
"210",79501,0.018350526,0.029467706
"211",79636,0.113993884432962,0.0995694221648113
"212",79913,0.058,0.0699999999999999
"213",80236,0.362302596153347,0.301332135953109
"214",80838,0.00447474709348128,0.00597373546740641
"215",80973,0.060874682130384,0.0505735108670844
"216",81250,0.0086513744048105,0.00272229380893974
"217",81573,0.952154822780287,0.946459986432704
"218",82116,0.991,0.991
"219",82175,0.684350572581552,0.781886040856136
"220",82310,0.00527701187183187,0.00261023943146731
"221",83453,0.439,0.511
"222",83512,0.004294073,0.006670365
"223",83647,0.0871618449413684,0.0594264512404806
"224",83924,0.018,0.00599999999999998
"225",84849,0.816121589458613,0.9689682744391
"226",85584,0.9961792,0.9961792
"227",86127,0.957322909927959,0.980540548745396
"228",86186,0.115388831781545,0.141030918907727
"229",86321,0.0223262127949611,0.0223405916862725
"230",86598,0,0
"231",86921,0.977577938535677,0.989878678890995
"232",87523,0.855081713117306,1.04420856558653
"233",87658,0.0034,0.003
"234",88258,0.990169478783165,0.976990492946462
"235",88860,0.8531,1.6219
"236",88995,0.0043,0.00389999999999999
"237",90197,0.321423211876601,0.463516059383003
"238",91475,0.899758473516361,0.929569260168513
"239",91534,0.0610623740346247,0.0746316861731232
"240",91669,0.0721700066254737,0.0604109245265192
"241",91946,0.0528186128391637,0.0374341118134797
"242",92269,0.787934489740277,0.849592848701383
"243",92812,0.87844257669891,0.902844208934167
"244",92871,0.0747593052511236,0.120453033928936
"245",93006,0.0837303626918465,0.0691283289078686
"246",93283,0.0147647058823451,0.0178235294117253
"247",94149,0.957,0.988999999999999
"248",94208,0.089931232,0.11925616
"249",94343,0.0229147566029803,0.019793266488531
"250",94620,0.00105555555555556,0.00105555555555556
"251",94943,0.990713642962796,0.986076473362744
"252",95545,0.784201034995855,0.910484223352417
"253",95680,0.0044,0.00399999999999999
"254",96280,0.647848977777778,0.647848977777778
"255",96823,0.822371318731592,0.878737570899151
"256",96882,0.04976824,0.0948412
"257",97017,0.080779503816597,0.0698163991288691
"258",97294,0.017,0.013
"259",98160,0.998,0.997999999999999
"260",98219,0.427570400925344,0.644862894881987
"261",98354,0.0046,0.0034
"262",99556,0.64365697973303,0.784698534592817
"263",100834,0.967,0.967
"264",100893,0.238044302988627,0.298621514943133
"265",101028,0.0143,0.0135
"266",102171,0.996055555555553,0.996055555555553
"267",102230,0.480442501341282,0.528195594597261
"268",103508,0.920941176470609,0.944705882353046
"269",103567,0.081,0.113
"270",103702,0.0367588974489866,0.0315148860080436
"271",103979,0.00746500703693713,0.00468998632134498
"272",104302,0.714818258896587,0.789342007123209
"273",104845,0.708464780069517,0.749449469868026
"274",104904,0.00879169555977436,0.0127574657988718
"275",105039,0.118819410897027,0.101690070376933
"276",105316,0.0168235294117647,0.0201176470588235
"277",105595,0.045,0.045
"278",106182,0.661161041821548,0.737142448784353
"279",106241,0.0233608468334919,0.0285521461674598
"280",106376,0.1453,0.1313
"281",106653,0.039925883015024,0.0429921833648419
"282",107519,0.943588235294053,0.981941176470265
"283",107578,0.138,0.138
"284",107713,0.039417077946112,0.036422991447413
"285",107990,0.0126470588235225,0.0152352941176126
